"","iso_code","continent","location","date","diabetes_prevalence","cardiovasc_death_rate","total_deaths","total_cases","population_density","median_age"
"142","STP","Africa","Sao Tome and Principe","2023-04-12",2.42,270.113,80,6542,212.841,18.7
"143","SAU","Asia","Saudi Arabia","2023-04-12",17.72,259.538,9635,836442,15.322,31.9
"144","SEN","Africa","Senegal","2023-04-12",2.42,241.219,1971,88978,82.328,18.7
"145","SRB","Europe","Serbia","2023-04-12",10.08,439.415,17996,2524670,80.291,41.2
"146","SYC","Africa","Seychelles","2023-04-12",10.55,242.648,172,50937,208.354,36.2
"147","SLE","Africa","Sierra Leone","2023-04-12",2.42,325.721,125,7762,104.7,19.1
"148","SGP","Asia","Singapore","2023-04-12",10.99,92.243,1722,2298689,7915.731,42.4
"149","SVK","Europe","Slovakia","2023-04-12",7.29,287.959,21123,1865828,113.128,41.2
"150","SVN","Europe","Slovenia","2023-04-12",7.25,153.493,9230,1342156,102.619,44.5
"151","SLB","Oceania","Solomon Islands","2023-04-12",18.68,459.78,153,24575,21.841,20.8
"152","SOM","Africa","Somalia","2023-04-12",6.05,365.769,1361,27334,23.5,16.8
"153","ZAF","Africa","South Africa","2023-04-12",5.52,200.38,102595,4072533,46.754,27.3
"154","KOR","Asia","South Korea","2023-04-12",6.8,85.998,34332,30918060,527.967,43.4
"155","ESP","Europe","Spain","2023-04-12",7.17,99.403,120426,13798747,93.105,45.5
"156","LKA","Asia","Sri Lanka","2023-04-12",10.68,197.093,16835,672092,341.955,34.1
"157","SDN","Africa","Sudan","2023-04-12",15.67,431.388,5034,63922,23.258,19.7
"158","SUR","South America","Suriname","2023-04-12",12.54,258.314,1404,82495,3.612,29.6
"159","SWE","Europe","Sweden","2023-04-12",4.79,133.982,23897,2702703,24.718,41
"160","CHE","Europe","Switzerland","2023-04-12",5.59,99.739,13981,4399085,214.243,43.1
"161","TJK","Asia","Tajikistan","2023-04-12",7.11,427.698,125,17786,64.281,23.3
