"","location_key","life_expectancy","smoking_prevalence","diabetes_prevalence","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","pollution_mortality_rate","comorbidity_mortality_rate","hospital_beds_per_1000","nurses_per_1000","physicians_per_1000","health_expenditure_usd","out_of_pocket_health_expenditure_usd"
"140","ER",65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,NA,1.4397,0.0628,32.911999,19.458075
"141","ES",83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,NA,5.7295,3.8723,2506.464844,590.668274
"142","ES_AN",82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","ES_AS",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","ES_CB",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","ES_CE",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","ES_CL",84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","ES_CM",83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","ES_CN",82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","ES_CT",83.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","ES_EX",82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","ES_GA",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","ES_IB",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","ES_MC",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","ES_MD",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","ES_ML",80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","ES_NC",84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","ES_PV",84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","ES_RI",83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","ES_VC",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","ET",66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383
"161","FI",81.8,20.4,5.6,1.4,89.21,44.026,7.2,10.2,4.4,14.7374,3.8118,4205.742676,850.713318
"162","FJ",67.341,22.6,14.7,21.6,256.995,174.97,99,30.6,NA,3.3752,0.86,188.414322,29.381798
"163","FM",67.755,NA,11.9,25.6,177.715,146.294,151.8,26.1,NA,2.0426,NA,424.809784,10.210433
"164","FO",82.54878,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","FR",82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,NA,11.4707,3.2672,4379.727051,411.003204
"166","FR_ARA",83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","FR_BFC",82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","FR_BRE",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","FR_COR",84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","FR_CVL",82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","FR_GES",82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","FR_HDF",80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","FR_IDF",84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","FR_LRE",81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","FR_MAY",76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","FR_MF",79.870732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","FR_NAQ",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","FR_NOR",82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","FR_OCC",83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","FR_PAC",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","FR_PDL",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","GA",66.187,NA,6,32.7,238.333,182.317,76,14.4,NA,2.946,0.6819,204.492249,51.442871
"183","GB",81.3,22.3,3.9,3.6,86.107,55.36,13.8,10.9,NA,8.1723,2.8117,3858.674316,615.721802
"184","GB_ENG_E08000003",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","GB_ENG_E10000006",81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","GB_ENG_E10000016",81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","GB_ENG_E10000017",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","GB_ENG_E10000019",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","GB_ENG_LON",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","GB_NIR",80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","GB_SCT",79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","GB_UKC",79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","GB_UKD",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","GB_UKE",80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","GB_UKF",81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","GB_UKG",80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","GB_UKH",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","GB_UKI",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","GB_UKJ",82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","GB_UKK",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","GB_WLS",80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","GD",72.384,NA,10.7,13.7,179.054,117.738,45.3,21.4,NA,6.2837,1.4067,497.236053,260.620514
"203","GE",73.6,28.8,5.8,8.7,221.61,77.23,101.8,24.9,NA,4.7293,7.1201,293.053589,160.481735
"204","GH",63.78,3.9,2.5,34.9,254.991,214.333,203.8,20.8,NA,4.2001,0.1359,66.749413,26.894472
"205","GL",70.84878,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","GM",61.735,15.5,1.9,39,279.951,224.406,237,20.4,NA,1.5447,0.1021,23.272326,5.127221
"207","GN",61.185,NA,2.4,64.9,260.356,232.889,243.3,22.4,NA,0.1238,0.0832,33.720112,19.113756
"208","GQ",58.402,NA,6,62.6,334.453,294.556,177.7,22,NA,0.5024,0.4017,301.150055,231.259186
"209","GR",81.9,43.4,4.7,3.6,93.96,42.478,27.6,12.4,4.3,3.6331,5.4789,1516.587769,527.017395
"210","GT",74.063,NA,10,22.1,201.48,111.16,73.8,14.9,NA,0.0737,0.3549,259.935028,140.713516
"211","GU",79.859,NA,18.7,NA,79.819,39.075,NA,NA,NA,NA,NA,NA,NA
"212","GW",58.003,NA,2.4,54,373.99,301.21,214.7,20,NA,0.6851,0.1274,52.359409,37.730824
"213","GY",69.774,NA,11.6,25.1,268.873,182.082,107.8,30.5,NA,1.0398,0.8023,230.527283,74.853691
"214","HK",84.934146,NA,4.5,NA,61.901,33.104,NA,NA,NA,NA,NA,NA,NA
"215","HN",75.088,2,7.3,15.1,166.999,115.541,60.7,14,NA,0.7357,0.3089,195.935745,95.423988
"216","HR",78.2,37,5.4,4,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057
"217","HT",63.66,12.7,6.7,49.5,257.443,197.41,184.3,26.5,NA,0.6798,0.2343,62.353279,25.083418
"218","HU",76.2,30.6,6.9,3.6,168.058,80.586,38.8,23,NA,6.9157,3.4075,981.423035,263.947113
